a	Một
advised	khuyên
advisedly	cố vấn
advisee	cố vấn
advisemement	lời khuyên
adviser	cố vấn
advisory	tham mưu
advocacy	biện hộ
advocate	biện hộ
advocation	biện hộ
advoutress	người ủng hộ
advoutry	người theo đạo
advowson	ủng hộ
adynamia	chứng hưng phấn
adynamic	không năng động
adynamy	năng động
adytum	adytum
adz	quảng cáo
adze	quảng cáo
adzooks	adzook
aecial	aecial
aeciospore	aeciospore
aecium	aecium
aedes	aedes
aedile	con non
aedipus	aedipus
aeequa	aeequa
aegean	aegean
aegiceras	aegiceras
aegilops	aegilop
aegina	aegina
aegis	aegis
aegospotami	aegospotami
aegri	aegri
aegypiidae	aegypiidae
aegypius	aegypius
aegyptopithecus	aegyptopithecus
aeneas	aeneas
aeneid	aeneid
aeneus	aeneus
aeolian	aeilian
aeolic	aeolic
aeolis	aeolis
aeolotropic	khí động học
aeolus	aeolus
aeon	aeon
aeonium	aeonium
aepyceros	aepyceros
aepyornidae	aepyornidae
aepyorniformes	bộ aepyorniformes
aequa	bình đẳng
aequam	bình đẳng
aequat	bình đẳng
aequis	bình đẳng
aequo	bình đẳng
aerated	sục khí
aeration	sục khí
aerator	sục khí
aere	trên không
aerial	trên không
aerialist	người trên không
aerially	trên không
aerides	khí quyển
aerie	không trung
aeriferous	thoáng khí
aerifiction	sục khí
aeriform	dạng khí cầu
aerobacter	vi khuẩn hiếu khí
aerobe	hiếu khí
aerobic	thể dục nhịp điệu
aerobics	thể dục nhịp điệu
aerobiosis	hiếu khí
aerobiotic	hiếu khí
aerodontalgia	đau răng
aerodrome	sân bay
aerodynamic	khí động học
aerodynamics	khí động học
aerography	khí tượng học
aerolite	aerolit
aerological	khí tượng học
aerology	khí tượng học
aerolytic	khí dung
aeromancy	khí lực
aeromechanic	cơ khí
aeromechanics	cơ khí
aeromedical	hàng không y tế
aeromedicine	hàng không y học
aerometer	khí kế
aerometry	khí tượng học
aeronatics	hàng không
aeronaut	phi hành gia
aeronautic	hàng không
aeronautical	hàng không
aeronautics	hàng không
aerophagia	nuốt khí
aerophilatelic	hiếu khí
aerophilately	ưa khí
aeroplane	Máy bay
aeroplanist	người lái máy bay
aeroscope	kính thiên văn
aeroscopy	soi khí cầu
aerosol	sol khí
aerosolized	aerosol hóa
aerospace	hàng không vũ trụ
aerosphere	tầng khí quyển
aerostat	điều hòa không khí
aerostatic	khí động học
aerostatics	khí động học
aerostation	khí cầu
aertex	khí động học
aes	aes
aeschylean	aeschylean
aeschylus	aeschylus
aeschynanthus	aeschynanthus
aesculapian	người aesculapia
aesculapius	aesculapius
aesculus	aesculus
aesir	aesir
aesop	aesop
aestas	aestas
aesthetic	thẩm mỹ
aesthetically	thẩm mỹ
aesthetics	tính thẩm mỹ
aestival	lễ hội
aetas	aetas
aeterna	ngoài trời
aeternum	không trung
aether	không khí
aethionema	aethionema
aethusa	aetusa
aetiology	nguyên nhân
aetobatus	aetobatus
aevi	aevi
afar	xa
afeard	sợ hãi
afebrile	ốm yếu
affability	niềm nở
affable	niềm nở
affably	niềm nở
affair	công việc
affaire	ngoại tình
affaires	ngoại tình
affairs	công việc
affect	ảnh hưởng
affectation	ảnh hưởng
affected	ảnh hưởng
affectedly	bị ảnh hưởng
affectedness	sự ảnh hưởng
affectibility	sự nhạy cảm
affecting	ảnh hưởng đến
affectingly	có ảnh hưởng
affection	sự yêu mến
affectional	tình cảm
affectionate	trìu mến
affectionateness	sự trìu mến
affectioned	tình cảm
affections	tình cảm
affector	ảnh hưởng
affects	ảnh hưởng đến
affenpinscher	người tình cảm
afferent	hướng tâm
affettuoso	tình cảm
affiance	mối quan hệ
affianced	kết hôn
affiche	affiche
afficher	khổ sai
affidation	liên minh
affidavit	bản khai có tuyên thệ
affiliated	liên kết
affiliation	liên kết
affinal	tình cảm
affined	bị ảnh hưởng
affinity	sự giống nhau
affirm	Xác nhận
affirmable	có thể khẳng định
affirmance	khẳng định
affirmation	khẳng định
affirmative	khẳng định
affirmatively	khẳng định
affirmativeness	sự khẳng định
affix	dán vào
affixal	phụ tố
affixation	sự gắn kết
affixed	dán vào
afflation	lạm phát
afflatus	sự sung túc
afflict	đau khổ
afflicted	đau khổ
afflicting	phiền não
affliction	phiền não
afflictions	phiền não
afflictive	phiền não
affluence	sung túc
affluent	sung túc
afflux	sung túc
affluxion	sung túc
afford	đủ khả năng
afforestation	trồng rừng
affraid	sợ
affranchise	nhượng quyền
affranchisement	nhượng quyền
affray	ẩu đả
affrayment	mâu thuẫn
affricate	tình cảm
affrication	tình cảm
affriction	phiền não
affright	sợ hãi
affrightment	sự sợ hãi
affront	sỉ nhục
affronted	bị sỉ nhục
affronterai	người đối diện
affuse	lăng nhăng
affusion	tình cảm
afghan	afghanistan
afghani	afghanistan
afghanistan	afghanistan
afibrinogenemia	afibrinogen máu
afield	ngoài đồng
afire	Một đám cháy
aflak	aflak
aflame	ngọn lửa
aflare	bùng lên
afloat	nổi
aflutter	rung động
afoot	đi bộ
afore	trước
aforehand	thuận tay
aforementioned	nói trên
aforenamed	kể trên
aforesaid	đã nói ở trên
aforethought	suy nghĩ trước
afoul	phạm lỗi
afraid	sợ
aframomum	aframomum
afreet	tự do
afresh	một lần nữa
afric	người châu phi
africa	Châu phi
african	Người châu Phi
african-american	người mỹ gốc phi
africander	người châu phi
afrikaans	người gốc phi
afrikaner	người gốc phi
afro	người da đen
afro-asian	người Á-Phi
afro-wig	afro-tóc giả
afroasiatic	người Á Phi
afrocarpus	afrocarpus
afropavo	afropavo
aft	phía sau
after	sau đó
after-hours	sau nhiều giờ
after-school	sau giờ học
after-shave	sau khi cạo râu
afterage	dư thừa
afterbirth	sau khi sanh
afterburden	gánh nặng sau lưng
afterburner	đốt sau
aftercare	chăm sóc hậu mãi
afterclap	vỗ tay sau
aftercome	hậu quả
aftercourse	hậu quả
aftercrop	tàn dư
afterdamp	dư âm
afterdeck	boong sau
afterdinner	sau bữa tối
aftereffect	sau khi có hiệu lực
aftergame	sau trò chơi
afterglow	hào quang
aftergrowth	sự phát triển sau
afterimage	dư ảnh
afterlife	thế giới bên kia
aftermath	hậu quả
aftermost	sau cùng
afternoon	buổi chiều
afterpains	dư âm
afterpart	phần sau
afterpiece	phần sau
aftershaft	trục sau
aftershafted	trục sau
aftershock	dư chấn
aftertaste	dư vị
afterthought	suy nghĩ lại
afterwards	sau đó
afterworld	thế giới bên kia
aga	một lần nữa
agacerie	nhà làm rau củ
again	lại
agains	lần nữa
against	chống lại
agalactia	thiên hà
agalloch	agalloch
agallochium	agallochium
agama	agama
agamemnon	agamemnon
agamic	không có giao tử
agamid	agamid
agamidae	agamidae
agamist	người bất đồng
agammaglobulinemia	agammaglobulin máu
agapanthus	agapanthus
agape	agape
agapemone	agapemone
agapornis	agapornis
agar	thạch
agaric	giống nấm hương
agaricaceae	họ trầm hương
agaricales	giống nấm hương
agaricus	giống nấm hương
agas	agas
agastache	agastache
agate	mã não
agateware	đồ mã não
agathis	agathis
agavaceae	họ thùa
agave	Cây thùa
agaze	agaze
agdistis	người nông dân
age	tuổi
age-old	tuổi già
aged	già
agedness	tuổi tác
ageism	phân biệt tuổi tác
agelaius	tuổi già
ageless	không tuổi tác
agelessness	không tuổi
agelong	agelong
agency	hãng
agenda	chương trình nghị sự
agendum	chương trình nghị sự
agenesis	sự phát sinh
agent	đại lý
agential	đại lý
agentive	đại lý
agents	đại lý
agentship	đại lý
agerasia	già nua
ageratina	tuổi già
ageratum	tuổi già
ages	lứa tuổi
agglomerate	kết tụ
agglomeration	kết tụ
agglutinate	ngưng kết
agglutination	ngưng kết
agglutinative	kết dính
agglutinin	ngưng kết
agglutinogen	chất ngưng kết
aggrandize	phóng đại
aggrandizement	sự phóng đại
aggravable	nặng thêm
aggravate	trầm trọng thêm
aggravated	trầm trọng thêm
aggravating	trầm trọng thêm
aggravatingly	một cách trầm trọng
aggravation	tình tiết tăng nặng
aggregate	tổng hợp
aggregation	tổng hợp
aggression	Hiếu chiến
aggressive	hung dữ
aggressively	tích cực
aggressiveness	tính hiếu chiến
aggressor	kẻ xâm lược
aggrieve	đau buồn
aggrieved	đau khổ
aggro	Hung bạo
aggroup	tập thể
aghan	aghan
aghast	kinh hoàng
agianst	agianst
agile	nhanh nhẹn
agilely	nhanh nhẹn
agility	nhanh nhẹn
agincourt	agincourt
aging	sự lão hóa
agio	agio
agiotage	kích động
agir	nông dân
agis	agis
agitate	kích động
agitated	kích động
agitation	kích động
agitative	kích động
agitator	người khuấy động
agitur	kích động
agjus	agjus
agkistrodon	akistrodon
aglaomorpha	aglaomorpha
aglaonema	aglaonema
agleam	lấp lánh
aglet	tia chớp nhỏ
aglitter	lấp lánh
aglow	bừng sáng
agnate	có nguồn gốc
agnatha	người già
agnation	kích động
agni	agni
agnition	đánh lửa
agnize	đánh thức
agnomen	người không biết
agnosia	mất nhận thức
agnostic	bất khả tri
agnosticism	thuyết bất khả tri
agnus	agnus
ago	trước kia
agog	kêu cứu
agoing	hấp hối
agonadal	một bên
agonal	thống khổ
agonidae	họ bò sát
agonies	đau khổ
agonism	chủ nghĩa thống khổ
agonist	chất chủ vận
agonistic	kích động
agonize	đau khổ
agonized	đau khổ
agonizing	đau khổ
agonizingly	đau đớn
agonus	đau khổ
agony	đau đớn
agora	khoảng trống
agoraphobia	Chứng sợ đám đông
agoraphobic	sợ khoảng rộng
agostadero	sân vận động trước
agouti	tiếng kêu cứu
agranulocytic	mất bạch cầu hạt
agranulocytosis	mất bạch cầu hạt
agrapha	chữ viết
agraphia	mất chữ viết
agraphic	đồ họa
agrarian	nông nghiệp
agree	đồng ý
agreeable	dễ chịu
agreeableness	sự dễ chịu
agreeably	dễ chịu
agreed	đã đồng ý
agreeing	đồng ý
agreement	hiệp định
agrescit	nông nổi
agrestic	hiếu chiến
agribusiness	kinh doanh nông nghiệp
agricultor	nông dân
agricultural	nông nghiệp
agriculture	nông nghiệp
agriculturist	nông phu
agrimonia	agrimoniac
agriocharis	nông dân
agrippa	agrippa
agrobacterium	vi khuẩn nông nghiệp
agrobiologic	agrobiologic
agrobiology	môm canh nông
agrologic	nông học
agrology	nông học
agromania	chứng cuồng nông
agronomic	nông học
agronomist	nhà nông học
agronomy	nông học
agropyron	agropyron
agrostemma	thân non
agrostis	nông nghiệp
aground	mắc cạn
agrypnia	mất ngủ
agrypnotic	agypnotic
agua	agua
aguardiente	bảo vệ
ague	sốt sắng
aguets	aguet
agueweed	cỏ dại
aguish	đau khổ
agural	nông nghiệp
agurial	nông thôn
ah	Ah
aha	à há
ahab	a-háp
ahariolation	aharario hóa
ahead	phía trước
ahorse	một con ngựa
ahriman	ariman
ahuehuete	ahuehuete
ahura	hào quang
aid	sự giúp đỡ
aidance	viện trợ
aide	phụ tá
aide-memoire	phụ tá-hồi ký
aidedecamp	phụ tá
aidetoi	phụ tá
aiding	trợ giúp
aidless	bất lực
aids	AIDS
aigrette	cái dùi nhỏ
aiguille	aiguille
aigulet	aigulet
aikido	aikido
ail	đau
ailanthus	ailanthus
aile	ốm yếu
aileron	cánh hoa thị
ailing	ốm yếu
ailment	bệnh tật
ailurophobia	chứng sợ ailurophobia
ailuropoda	ailuropoda
ailuropodidae	ailuropodidae
ailurus	ailurus
aim	mục tiêu
aimer	máy nhắm
aimless	vu vơ
aimlessly	vu vơ
aimlessness	không mục đích
aingenium	aingenium
aioli	Bơ
air	không khí
air-conditioned	máy lạnh
air-conditioner	máy điều hòa
air-cooled	làm mát bằng không khí
air-intake	hút gió
air-to-air	không đối không
air-to-surface	không khí đối mặt
airborne	trên không
airbrake	phanh hơi
airbrush	bút lông
airbubble	bong bong không khi
airbuilt	máy bay
airbus	máy bay
aircraft	phi cơ
aircraftsman	phi công
aircrew	phi hành đoàn
aircrewman	phi hành đoàn
airdock	sân bay
aire	không khí
aired	phát sóng
airedale	phát sóng
airfield	sân bay
airflow	luồng không khí
airfoil	cánh máy bay
airframe	khung máy bay
airheaded	đầu óc tỉnh táo
airhole	lổ thông gió
airiness	độ thoáng
airing	phát sóng
airless	không có không khí
airlift	không vận
airline	hãng hàng không
airliner	máy bay
airlock	chốt gió
airmail	đường hàng không
airman	phi công
airmanship	kỹ thuật lái máy bay
airpipe	ống dẫn khí
airplane	Máy bay
airport	sân bay
airs	lên sóng
airship	khinh khí cầu
airsick	say máy bay
airspace	vùng trời
airspeed	tốc độ bay
airstream	luồng không khí
airstrip	đường băng
airtight	kín gió
airwind	gió thổi
airworthiness	khả năng bay
airworthy	đủ điều kiện bay
airy	thoáng đãng
aise	chỗ ngồi
aisle	lối đi
ait	ait
aitch	ngứa ngáy
aitchbone	Xương chậu
aiunt	dì
aix	aix
aizoaceae	aizoaceae
ajaia	ajaia
ajar	khép hờ
ajax	ajax
ajee	ajee
ajuga	ajuga
ajutage	ajutage
akan	akan
akaryocyte	tế bào nhân
akee	akee
akeridae	akeridae
akimbo	chống nạnh
akin	giống
akinesis	sự bất động
akkadian	tiếng akkadian
akron	akron
akwa'ala	akwa'ala
al	tất cả
ala	than ôi
alabama	alabama
alabaman	người tuyết trắng
alabaster	thạch cao tuyết hoa
alack	thiếu
alacran	alacran
alacritous	sốt sắng
alacrity	sự sốt sắng
alacritywant	sốt sắng
aladdin	aladdin
alalia	bí danh
alameda	alameda
alamo	alamo
alanine	alanin
alar	cánh mũi
alarm	báo thức
alarmed	báo động
alarming	đáng báo động
alarmingly	đáng báo động
alarmism	chủ nghĩa báo động
alarmist	người báo động
alarum	chuông reo
alas	than ôi
alaska	alaska
alaskan	alaska
alate	muộn
alated	chán nản
alauda	alauda
alaudidae	alaudidae
alaw	một luật
alb	màu trắng nhạt
alba	alba
albacore	albacore
albania	anbani
albanian	người a-ba-ni
albany	albany
albata	albata
albatrellus	chim hải âu
albatross	chim hải âu
albedo	suất phản chiếu
albeit	mặc dù
alberca	alberca
albert	albert
alberta	alberta
albetur	albetur
albification	sự phân nhánh
albinal	bạch tạng
albinism	bệnh bạch tạng
albino	bạch tạng
albite	bạch tạng
albitic	bạch tạng
albizzia	bạch tạng
albuca	bạch tạng
albuginaceae	họ albuginaceae
albugo	bạch tạng
albula	abula
albulidae	albulidae
album	album
albumen	lòng trắng trứng
albumin	anbumin
albuminous	anbumin
albuminuria	anbumin niệu
albuminuric	anbumin niệu
albuquerque	albuquerque
albuterol	albuterol
alca	alca
alcaeus	alcaeus
alcaic	alcaic
alcaid	alcaid
alcalde	alcalde
alcazar	alcazar
alcea	alcea
alcedinidae	họ alcedinidae
alcedo	alcedo
alcelaphus	cá vàng
alces	đồng cỏ
alchemic	thuật giả kim
alchemist	nhà giả kim
alchemistic	thuật giả kim
alchemy	thuật giả kim
alcidae	alcidae
alcohol	rượu bia
alcoholic	kẻ nghiện rượu
alcoholism	nghiện rượu
alcoran	alcoran
alcove	hốc tường
alcyonacea	alcyonacea
alcyonaria	alcyonaria
aldebaran	aldebaran
aldehyde	andehit
aldehydic	andehyt
alder	cây sủi cảo
alderfly	ruồi trâu
alderman	người làm thị trưởng
aldermanic	người da đen
aldol	aldol
aldose	aldose
aldosterone	aldosteron
aldosteronism	cường aldosteron
aldrovanda	aldrovanda
ale	bia
alea	alea
aleatory	may rủi
alectis	alectis
alecto	alecto
alectoria	chứng mất trí nhớ
alectoris	thuốc diệt cỏ
alectoromancy	thuật toán
alectryomancy	điện từ
alectura	giảng văn
alee	alee
alehouse	quán rượu
alembic	alembic
alentours	tài năng
aleph	aleph
aleph-null	aleph-null
alepisaurus	alepisaurus
aleppo	aleppo
alert	báo động
alertly	tỉnh táo
alertness	sự tỉnh táo
alerts	cảnh báo
aletris	cảnh báo
aleurites	aleurit
aleuromancy	tiên lượng
aleurone	aleurone
aleuronic	dị năng
aleut	cá mập
alewife	người bán rượu
alex	alex
alexander	alexander
alexandria	alexandria
alexandrian	alexandria
alexandrine	alexandrine
alexandrite	alexandrite
alexic	alexic
alexipharmic	alexipharmic
alexiteric	biệt ngữ
aleyrodes	hẻm núi
aleyrodidae	aleyrodidae
alfalfa	cỏ linh lăng
alfardaws	alfardaws
alfilaria	bệnh giun chỉ
alfresco	ngoài trời
alga	tảo
algal	tảo
algarroba	algarroba
algebra	đại số học
algebraic	đại số
algebraically	đại số
algebraist	nhà đại số
algebraize	đại số
algeria	An-giê-ri-a
algerian	người An-giê-ri
algeripithecus	algeripithecus
alget	đại khái
algid	algid
algiers	người an-giê-ri
algin	algin
algoid	algoid
algol	algol
algolagnic	đại số
algology	đại số học
algometer	đại số kế
algometric	đại số học
algometry	đại lượng học
algonkian	tiếng algonkian
algonquian	tiếng lóng
algophobia	chứng sợ bệnh tự kỷ
